Compound,Date,Negative,Neutral,Positive,Tweets Ago,UserName
0,Sun Dec 10 00:10:20 +0000 2017,0,1,0,59,@CNN
0.25,Sun Dec 10 00:10:19 +0000 2017,0.079,0.787,0.135,60,@CNN
0,Sun Dec 10 00:10:19 +0000 2017,0,1,0,61,@CNN
0,Sun Dec 10 00:10:18 +0000 2017,0,1,0,62,@CNN
-0.4767,Sun Dec 10 00:10:18 +0000 2017,0.14,0.86,0,63,@CNN
0,Sun Dec 10 00:10:17 +0000 2017,0,1,0,64,@CNN
-0.1531,Sun Dec 10 00:10:15 +0000 2017,0.144,0.741,0.116,65,@CNN
-0.1027,Sun Dec 10 00:10:14 +0000 2017,0.263,0.508,0.229,66,@CNN
0.4019,Sun Dec 10 00:10:14 +0000 2017,0.084,0.728,0.188,67,@CNN
-0.4303,Sun Dec 10 00:10:12 +0000 2017,0.322,0.678,0,68,@CNN
0,Sun Dec 10 00:10:08 +0000 2017,0,1,0,69,@CNN
0,Sun Dec 10 00:10:08 +0000 2017,0,1,0,70,@CNN
0.3182,Sun Dec 10 00:10:08 +0000 2017,0,0.859,0.141,71,@CNN
-0.34,Sun Dec 10 00:10:07 +0000 2017,0.21,0.664,0.126,72,@CNN
0,Sun Dec 10 00:10:07 +0000 2017,0,1,0,73,@CNN
0.4824,Sun Dec 10 00:10:07 +0000 2017,0.116,0.654,0.23,74,@CNN
0.5707,Sun Dec 10 00:10:06 +0000 2017,0,0.802,0.198,75,@CNN
0,Sun Dec 10 00:10:06 +0000 2017,0,1,0,76,@CNN
-0.5859,Sun Dec 10 00:10:05 +0000 2017,0.174,0.826,0,77,@CNN
-0.6705,Sun Dec 10 00:10:04 +0000 2017,0.176,0.824,0,78,@CNN
0.8519,Sun Dec 10 00:10:03 +0000 2017,0,0.646,0.354,79,@CNN
-0.3182,Sun Dec 10 00:10:02 +0000 2017,0.091,0.909,0,80,@CNN
-0.34,Sun Dec 10 00:10:01 +0000 2017,0.21,0.664,0.126,81,@CNN
-0.6369,Sun Dec 10 00:10:01 +0000 2017,0.257,0.743,0,82,@CNN
-0.1027,Sun Dec 10 00:10:00 +0000 2017,0.071,0.875,0.054,83,@CNN
-0.34,Sun Dec 10 00:10:00 +0000 2017,0.21,0.664,0.126,84,@CNN
-0.4215,Sun Dec 10 00:09:59 +0000 2017,0.149,0.851,0,85,@CNN
0.25,Sun Dec 10 00:09:59 +0000 2017,0.132,0.625,0.243,86,@CNN
0,Sun Dec 10 00:09:57 +0000 2017,0,1,0,87,@CNN
-0.4019,Sun Dec 10 00:09:57 +0000 2017,0.127,0.816,0.057,88,@CNN
-0.5848,Sun Dec 10 00:09:57 +0000 2017,0.387,0.613,0,89,@CNN
-0.843,Sun Dec 10 00:09:56 +0000 2017,0.335,0.665,0,90,@CNN
-0.34,Sun Dec 10 00:09:56 +0000 2017,0.21,0.664,0.126,91,@CNN
0,Sun Dec 10 00:09:55 +0000 2017,0,1,0,92,@CNN
